id;value;location;date;measure;unit
2221;2.00;"Boonsri";11/1/1998;"Water temperature";"C"
2223;9.10;"Boonsri";11/1/1998;"Dissolved oxygen";"mg/l"
2227;0.33;"Boonsri";11/1/1999;"Ammonium";"mg/l"
2228;0.01;"Strois";11/2/1999;"Nitrites";"mg/l"
2229;1.47;"Boonsri";11/1/1998;"Nitrates";"mg/l"
2230;0.06;"Boonsri";11/1/1998;"Orthophosphate-phosphorus";"mg/l"
2231;0.09;"Boonsri";11/1/1998;"Total phosphorus";"mg/l"
2232;13.90;"Boonsri";11/1/1998;"Sodium";"mg/l"
2233;3.50;"Boonsri";11/1/1998;"Potassium";"mg/l"
2234;52.00;"Boonsri";11/1/1998;"Calcium";"mg/l"
2235;9.70;"Boonsri";11/1/1998;"Magnesium";"mg/l"
2236;19.20;"Boonsri";11/1/1998;"Chlorides";"mg/l"
2237;36.70;"Boonsri";11/1/1998;"Sulphates";"mg/l"
2238;4.95;"Boonsri";11/1/1998;"Iron";"mg/l"
2239;0.01;"Boonsri";11/1/1998;"Manganese";"mg/l"
2240;21.00;"Boonsri";11/1/1998;"Zinc";"µg/l"
2241;22.00;"Boonsri";11/1/1998;"Copper";"µg/l"
2242;17.00;"Boonsri";11/1/1998;"Chromium";"µg/l"
2243;0.00;"Boonsri";11/1/1998;"Lead";"µg/l"
2244;0.00;"Boonsri";11/1/1998;"Cadmium";"µg/l"
2245;0.00;"Boonsri";11/1/1998;"Mercury";"µg/l"
2246;5.00;"Boonsri";11/1/1998;"Nickel";"µg/l"
2247;0.00;"Boonsri";11/1/1998;"Arsenic";"µg/l"
2248;3.60;"Boonsri";11/1/1998;"Biochemical Oxygen";"mg/l"
2249;13.80;"Boonsri";11/1/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2250;4.80;"Boonsri";11/1/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2251;0.00;"Boonsri";11/1/1998;"AOX";"µg/l"
2253;0.00;"Boonsri";11/1/1998;"Atrazine";"µg/l"
2254;0.00;"Boonsri";11/1/1998;"Cesium";"µg/l"
2256;0.00;"Boonsri";11/1/1998;"Macrozoobenthos";
2258;0.95;"Boonsri";11/1/1998;"Total coliforms";"mg/l"
